Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Referral,Coded,Referral form received,checkbox,No,Yes → show #refForm,PIH:20858,CIEL:1065,,
Upload referral,Coded,N/A,radio,No,no,PIH:13756,,,
Referral from:,Coded,Peripheral Health Unit | CHW (Community Health Worker) | Traditional birth attendant (TBA) | Self-refer | Other,radio,Yes,Peripheral Health Unit → show #refer-date; CHW (Community Health Worker) → show #refer-date; Traditional birth attendant (TBA) → show #refer-date; Other → show #other-referee,PIH:10647,PIH:12368|CIEL:1555|CIEL:1575|CIEL:978|CIEL:5622,,
Specify other referral role/place:,Text,N/A,text,No,no,PIH:6421,,,
Referral address:,Text,N/A,text,No,no,PIH:10155,,,
Referral phone number:,Text,N/A,text,No,no,PIH:6194,,,
Date/time of referral,Date,N/A,date,No,no,CIEL:163181,,,
Method of transport,Coded,Ambulance | Motorbike | Walking | Car | Other,radio,Yes,Other → show #other-transport,PIH:975,PIH:15074|PIH:MOTORBIKE|PIH:WALKING|PIH:CAR|PIH:OTHER,,
Specify other transport method:,Text,N/A,text,No,no,PIH:1301,,,
Gestational age (weeks),Coded,N/A,radio,No,no,CIEL:165425,,,
Grava,Coded,N/A,radio,No,no,CIEL:5624,,,
Para,Coded,N/A,radio,No,no,CIEL:1053,,,
Main complaint,Coded,N/A,radio,No,no,CIEL:160531,,,
Subform: vital-signs-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-widget.xml,subform,No,no,,,,
Labour signs (37+ weeks),Coded,Labour signs (37+ weeks),checkbox,No,no,PIH:10674,CIEL:162193,,
Pregnancy discomfort,Coded,Pregnancy discomfort,checkbox,No,no,PIH:10674,CIEL:151907,,
Main complaint,Coded,"Active labour greater than 34 weeks gestation | Regular contractions and herpes simplex (HSV) lesion greater than 34 weeks gestation | Planned, elective, repeat cesarean with contractions greater than 34 weeks gestation | Multiple gestation and early contractions greater than 34 weeks gestation",checkbox,No,no,PIH:10674,PIH:21087|PIH:21089|PIH:21090|PIH:21091,Main complaint,
Main complaint,Coded,Early labour between 34 and 37 weeks gestation,checkbox,No,no,PIH:10674,PIH:21088,Main complaint,
Main complaint,Coded,High-risk pregnancy | Difficulty breathing | Mental status change | Suicidal thoughts | Homicidal ideation present | Uterine contractions with less than 34 weeks of pregnancy | Leaking fluid or spotting with less than 34 weeks of pregnancy | Vaginal bleeding | Trauma | HIV positive | Elective cesarean section | Breech presentation | Multiple gestation | Placenta praevia | Decreased fetal movements,checkbox,No,no,PIH:10674,CIEL:117529|CIEL:142373|CIEL:121677|CIEL:125562|CIEL:167117|PIH:21085|PIH:21086|CIEL:147232|CIEL:124193|CIEL:138571|CIEL:170363|CIEL:146922|CIEL:115491|CIEL:114127|CIEL:113377,Main complaint,
Main complaint,Coded,Heart decompensation | Respiratory distress | Seizure | Bleeding | Unresponsive | Placental abruption | Rupture of uterus | Imminent vaginal delivery,checkbox,No,no,PIH:10674,CIEL:119664|CIEL:127639|CIEL:113054|CIEL:147241|CIEL:159508|CIEL:130108|CIEL:127259|CIEL:165217,Main complaint,
Other complaints:,Coded,back/musculo-skeletal pain | Nausea/vomiting | Other,radio,No,Other → show #other-complain,CIEL:1119,CIEL:133632|CIEL:133473|PIH:OTHER,,
Other complaints:,Text,N/A,text,No,no,PIH:14679,,,
Subform: lab-results-section.xml,Other,Subform — configuration/pih/subforms/lab-results-section.xml,subform,No,no,,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
